"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\programming\_smashtv\MVP\client\src\Actors\Bullet.ts", "TypeScript", 21, 0, 1, 4, 26
"c:\programming\_smashtv\MVP\client\src\Actors\Enemy.ts", "TypeScript", 30, 0, 0, 5, 35
"c:\programming\_smashtv\MVP\client\src\Actors\Exit.ts", "TypeScript", 48, 0, 1, 8, 57
"c:\programming\_smashtv\MVP\client\src\Actors\Key.ts", "TypeScript", 13, 0, 0, 2, 15
"c:\programming\_smashtv\MVP\client\src\Actors\hallway.ts", "TypeScript", 71, 0, 3, 13, 87
"c:\programming\_smashtv\MVP\client\src\Actors\player.ts", "TypeScript", 226, 0, 2, 19, 247
"c:\programming\_smashtv\MVP\client\src\Actors\room.ts", "TypeScript", 298, 0, 8, 46, 352
"c:\programming\_smashtv\MVP\client\src\Actors\treasure.ts", "TypeScript", 81, 0, 3, 9, 93
"c:\programming\_smashtv\MVP\client\src\Lib\CustomEmitterManager.ts", "TypeScript", 37, 0, 15, 6, 58
"c:\programming\_smashtv\MVP\client\src\Lib\Gamepad.ts", "TypeScript", 77, 0, 1, 11, 89
"c:\programming\_smashtv\MVP\client\src\Lib\Keyboard.ts", "TypeScript", 36, 0, 1, 6, 43
"c:\programming\_smashtv\MVP\client\src\Lib\MouseInput.ts", "TypeScript", 55, 0, 12, 8, 75
"c:\programming\_smashtv\MVP\client\src\Lib\ObjectPools.ts", "TypeScript", 45, 0, 9, 17, 71
"c:\programming\_smashtv\MVP\client\src\Lib\RentalPool.ts", "TypeScript", 24, 0, 15, 6, 45
"c:\programming\_smashtv\MVP\client\src\Lib\UUID.ts", "TypeScript", 10, 0, 0, 1, 11
"c:\programming\_smashtv\MVP\client\src\Lib\colliderGroups.ts", "TypeScript", 8, 0, 0, 2, 10
"c:\programming\_smashtv\MVP\client\src\Lib\customLoader.ts", "TypeScript", 222, 0, 63, 39, 324
"c:\programming\_smashtv\MVP\client\src\Lib\levelBuilder.ts", "TypeScript", 391, 0, 95, 66, 552
"c:\programming\_smashtv\MVP\client\src\Scenes\Final.ts", "TypeScript", 92, 0, 4, 13, 109
"c:\programming\_smashtv\MVP\client\src\Scenes\Game.ts", "TypeScript", 218, 0, 12, 32, 262
"c:\programming\_smashtv\MVP\client\src\Scenes\Staging.ts", "TypeScript", 17, 0, 1, 5, 23
"c:\programming\_smashtv\MVP\client\src\Scenes\Title.ts", "TypeScript", 98, 0, 2, 16, 116
"c:\programming\_smashtv\MVP\client\src\UI\MiniMap.ts", "TypeScript", 195, 0, 3, 38, 236
"c:\programming\_smashtv\MVP\client\src\UI\PlayerUI.ts", "TypeScript", 15, 0, 0, 3, 18
"c:\programming\_smashtv\MVP\client\src\UI\UI.ts", "TypeScript", 6, 0, 0, 4, 10
"c:\programming\_smashtv\MVP\client\src\main.ts", "TypeScript", 59, 0, 4, 6, 69
"c:\programming\_smashtv\MVP\client\src\resources.ts", "TypeScript", 9, 0, 1, 4, 14
"c:\programming\_smashtv\MVP\client\src\style.css", "CSS", 0, 49, 4, 4, 57
"c:\programming\_smashtv\MVP\client\src\types.d.ts", "TypeScript", 32, 0, 2, 9, 43
"Total", "-", 2434, 49, 262, 402, 3147